Harga,Perubahan,Tanggal
2.320.000,-15.000,1 Jul 2026
2.345.000,25.000,2 Jul 2026
2.400.000,55.000,3 Jul 2026
2.400.000,55.000,4 Jul 2026
2.429.000,0,5 Jul 2026
2.429.000,0,6 Jul 2026
2.414.000,-15.000,7 Jul 2026
2.393.000,-21.000,8 Jul 2026
2.383.000,-10.000,9 Jul 2026
2.405.000,22.000,10 Jul 2026
2.415.000,10.000,11 Jul 2026
2.415.000,0,12 Jul 2026
2.415.000,0,13 Jul 2026
2.395.000,-20.000,14 Jul 2026
2.382.000,30.000,15 Jul 2026
2.382.000,30.000,15 Jul 2026
2.380.000,-2.000,16 Jul 2026
